COD_UF,COD_MUNICIPIO,NOME_MUNICIPIO,POPULACAO
35,55356,Ubarana,6488
35,55406,Ubatuba,92819
35,55505,Ubirajara,4828
35,55604,Uchoa,10191
35,55703,União Paulista,1886
35,55802,Urânia,9125
35,55901,Uru,1142
35,56008,Urupês,13965
35,56107,Valentim Gentil,13732
35,56206,Valinhos,133169
35,56305,Valparaíso,27154
35,56354,Vargem,10842
35,56404,Vargem Grande do Sul,43368
35,56453,Vargem Grande Paulista,54315
35,56503,Várzea Paulista,124269
35,56602,Vera Cruz,10804
35,56701,Vinhedo,81516
35,56800,Viradouro,19133
35,56909,Vista Alegre do Alto,9163
35,56958,Vitória Brasil,1852
35,57006,Votorantim,124468
35,57105,Votuporanga,96106
35,57154,Zacarias,2784
35,57204,Chavantes,12418
35,57303,Estiva Gerbi,11507
